11_11075	ABC03430-1-1-265
11_10136	1628-410
11_10137	1630-1150
11_10138	1635-691
11_20222	1639-613
11_10139	1649-441
11_20224	1659-301
11_20225	1660-347
11_20226	166-154
11_20229	1670-369
11_20230	1674-468
11_10143	1676-557
11_20232	1692-742
11_10146	1697-636
11_10147	1698-619
11_20236	171-1301
11_10150	1711-542
11_20239	1732-491
11_10153	1735-1424
11_10157	1745-823
11_10158	1746-1527
11_10161	1761-804
11_20242	1762-837
11_10165	1769-545
11_20245	1773-358
11_20246	1780-778
11_10167	1786-297
11_20247	1789-782
11_10169	1800-1101
11_20251	1826-229
11_20252	1831-241
11_10174	1847-1745
11_10175	1852-509
11_10176	1857-64
11_10177	1861-2382
11_10178	1862-765
11_20259	1863-275
11_10180	1865-396
11_20260	1866-866
11_20262	1872-1372
11_10182	1894-2132
11_10183	1896-1435
11_10185	1899-739
11_10186	1906-429
11_20265	1910-1343
11_20266	1911-55
11_10189	1914-936
11_10191	1917-848
11_20267	1923-265
11_10194	1940-567
11_20269	1944-1901
11_10196	1946-698
11_20272	1954-1198
11_10202	1969-1322
11_20276	1977-1385
11_20283	1992-1714
11_10208	1996-652
11_10209	1997-77
11_10214	2020-539
11_20287	2026-302
11_20288	2027-1307
11_20289	2028-1571
11_10216	2029-1143
11_10217	203-1128
11_20290	2036-1027
11_20291	2041-1317
11_10220	2047-850
11_20292	2048-84
11_20293	2052-792
11_10221	2055-947
11_20294	2057-412
11_10223	2065-3135
11_10224	2066-1133
11_10225	2067-775
11_20298	2091-639
11_10227	210-450
11_20300	211-259
11_10232	2124-984
11_10234	2128-874
11_20302	2129-1928
11_20303	2132-1261
11_10236	2144-852
11_20306	2146-2256
11_10238	2151-1310
11_10239	2152-1547
11_20309	2167-335
11_10240	2168-111
11_20311	2174-1345
11_10243	217-677
11_10244	2176-891
11_20314	2183-227
11_20315	2188-425
11_10247	2196-195
11_20320	2208-279
11_10251	2223-1688
11_10252	2225-2611
11_20324	2229-274
11_20325	2231-557
11_10253	2236-773
11_10254	2244-3247
11_20327	2249-1308
11_10256	2251-643
11_20328	2254-156
11_20329	2259-488
11_10259	2265-363
11_10260	2267-1173
11_10261	2268-601
11_10262	2274-1226
11_10263	2277-634
11_20332	2283-2913
11_10265	2284-1738
11_20333	2288-126
11_20334	2290-796
11_20336	2294-573
11_10269	2297-1250
11_10270	2298-1526
11_10275	2314-1412
11_10276	2315-702
11_20339	2319-278
11_20340	2322-462
11_20342	2328-866
11_10279	233-1327
11_20343	2334-1827
11_10280	2335-1614
11_10281	2338-1572
11_20346	2350-107
11_20347	2352-277
11_20349	235-97
11_10287	2371-950
11_20351	2372-703
11_10289	237-534
11_20354	2378-498
11_20355	2389-526
11_20356	2391-566
11_20357	239-776
11_20358	2400-956
11_10294	2407-1771
11_10297	2417-924
11_20361	2421-520
11_10299	2429-1929
11_10301	2444-437
11_20362	2447-546
11_20363	245-433
11_20365	2457-2346
11_10302	2459-237
11_10303	2462-971
11_20366	2464-1228
11_20367	2465-793
11_10307	2477-377
11_20370	2482-126
11_10309	2490-1786
11_10310	2493-660
11_20371	2496-1916
11_10312	2500-1514
11_20372	2505-850
11_20373	2511-533
11_20374	2517-487
11_20375	2520-718
11_10317	2528-2111
11_10318	2529-2364
11_10319	2533-773
11_10323	2559-1796
11_20379	2562-1191
11_20383	2572-986
11_20384	2574-410
11_20385	2575-692
11_10324	2577-1122
11_10325	2580-1456
11_10326	2582-767
11_10327	2585-2901
11_10328	2588-229
11_10329	2592-1237
11_20386	2594-172
11_20387	2601-171
11_10331	2607-2929
11_20388	2611-1846
11_10334	2614-1522
11_10335	2616-2560
11_10336	2617-1234
11_10338	2633-498
11_20390	2634-2228
11_20392	264-571
11_20394	2646-1277
11_10342	2651-1774
11_10343	265-1229
11_20396	2664-314
11_10346	2669-1012
11_10349	2676-256
11_10350	2677-501
11_10352	2688-1022
11_10355	2702-284
11_10357	2711-234
11_10358	2719-672
11_20402	2726-852
11_10360	272-944
11_10363	2746-1501
11_10365	2751-2205
11_20409	2754-1027
11_20410	2765-406
11_20411	2769-1245
11_20412	2776-637
11_20414	277-935
11_10370	2792-749
11_20415	2795-1707
11_20417	2802-685
11_10373	2804-1832
11_20419	2809-271
11_10376	2822-739
11_10377	28-229
11_10379	283-1432
11_20422	2832-377
11_10380	2838-663
11_10381	2847-485
11_20427	2851-848
11_10383	285-2932
11_20428	2861-1941
11_10385	2867-373
11_20432	2877-867
11_10387	2878-574
11_20434	2881-935
11_20438	2895-1064
11_20439	2897-208
11_20440	2901-1137
11_20441	2906-1177
11_20442	2910-1085
11_10390	2911-1136
11_10394	2924-1189
11_20444	2934-1076
11_10396	2935-1634
11_10398	2944-1813
11_20449	2947-1245
11_20450	294-956
11_20451	2955-452
11_10399	2964-382
11_10400	2968-1066
11_20453	2977-1925
11_10401	2978-938
11_20454	299-163
11_20455	2995-717
11_20458	2998-508
11_10404	3000-1074
11_10405	3007-1337
11_20460	3010-1391
11_20461	3012-1125
11_10407	3014-914
11_10409	3026-1011
11_20465	3038-541
11_20466	304-194
11_10411	3042-1225
11_20467	3047-1400
11_20468	3048-1349
11_10414	3056-1317
11_20472	3078-2190
11_20475	3087-1763
11_20476	3090-138
11_10419	3101-111
11_20479	3107-422
11_20480	3108-232
11_10422	3122-909
11_20482	3127-273
11_10423	3128-1476
11_10424	3131-1029
11_20485	3140-491
11_20486	3143-1276
11_20488	3147-440
11_10427	3164-1386
11_20493	3178-1276
11_20494	3179-497
11_10429	3180-1771
11_10431	3186-1560
11_20495	3187-1073
11_10432	3190-644
11_20496	3193-671
11_20497	3200-242
11_10433	3201-603
11_20498	3206-670
11_20500	3212-2979
11_10436	3214-945
11_10437	3215-654
11_10438	3217-929
11_20501	3218-1094
11_20502	3220-723
11_20504	3225-520
11_10442	3232-201
11_20509	3246-1135
11_20511	3256-1196
11_10443	3263-2865
11_10444	3266-570
11_10446	3271-1422
11_20513	3272-1578
11_20514	3277-446
11_20515	3282-555
11_20521	3306-446
11_10451	3313-1443
11_20523	3315-749
11_20524	3326-1954
11_20526	3333-1209
11_20527	3340-1042
11_20528	334-1164
11_20529	3344-1147
11_10454	3345-247
11_10455	3348-395
11_20531	3349-759
11_10456	3354-121
11_20532	3355-605
11_20534	3359-1118
11_20536	3362-644
11_20537	3363-1795
11_10461	3378-619
11_10462	3379-1037
11_20545	3390-205
11_20546	3391-2137
11_20549	3398-163
11_20550	3404-2470
11_20551	3412-579
11_20552	3413-1488
11_10467	3416-692
11_20553	3417-1451
11_20557	3432-290
11_20558	3433-1087
11_10469	3436-354
11_20560	3443-1234
11_10470	3444-1044
11_10471	34-472
11_20561	3450-692
11_20562	3452-1355
11_20563	3453-1974
11_10475	3469-1152
11_20566	3470-134
11_20567	3472-587
11_20568	3477-1248
11_10477	3478-1024
11_10480	3489-854
11_20571	3498-761
11_10481	3500-1474
11_20572	3506-668
11_20573	3507-2859
11_20577	3532-1947
11_20580	3549-743
11_10490	3551-2537
11_20583	3567-112
11_20584	3568-149
11_20585	3576-2715
11_20586	3579-703
11_10494	3580-331
11_10496	3591-957
11_10498	3598-489
11_20590	3608-2133
11_20594	3639-969
11_10509	3644-1483
11_20595	3646-1984
11_20597	3650-311
11_10510	3652-872
11_10513	3656-341
11_20600	3658-1310
11_20602	3662-381
11_20603	3671-59
11_10515	3674-1352
11_10516	3675-2615
11_20605	3682-556
11_10518	3685-894
11_20606	3687-271
11_20607	3688-1291
11_10520	3689-1101
11_20609	3692-940
11_10521	3696-2238
11_20610	3699-1543
11_10522	3702-982
11_10524	370-443
11_10525	3709-716
11_10526	3710-852
11_10527	3716-910
11_20612	3718-1026
11_10534	3743-1988
11_20617	3751-1136
11_10536	3759-1385
11_10538	3763-595
11_10539	3764-666
11_20620	3773-756
11_20623	3783-621
11_20625	3786-2204
11_20626	3787-1223
11_20628	3791-1525
11_20629	3800-814
11_20631	3813-1629
11_10547	3818-1123
11_10550	382-2624
11_10551	3840-348
11_10552	3845-1089
11_20636	3865-103
11_20637	3877-1923
11_10557	3883-616
11_10559	3886-313
11_20639	3892-2472
11_10563	3900-611
11_10565	3906-558
11_10566	3910-1648
11_10568	3917-1365
11_20644	3919-112
11_20645	3928-513
11_20646	3931-1434
11_20647	3933-1077
11_10570	3949-1560
11_20650	3965-353
11_20651	397-288
11_10576	398-1244
11_10577	3984-1920
11_10578	39-843
11_20653	3985-824
11_20654	3987-1078
11_20656	3996-493
11_10580	3997-796
11_20657	4005-530
11_10582	4015-1153
11_20659	4019-302
11_20660	4020-643
11_10584	4025-300
11_20662	4026-655
11_10586	4027-1814
11_20667	4037-916
11_10588	4039-1686
11_20668	4047-898
11_20669	4049-233
11_10589	4050-2006
11_20670	4051-1101
11_20671	4054-1326
11_10590	4057-2114
11_20673	4064-1724
11_20674	4065-397
11_10593	4066-328
11_20675	4070-386
11_20676	407-259
11_10595	4076-1056
11_10597	409-1643
11_20680	4098-758
11_20681	4100-1047
11_10600	4103-1386
11_10601	4105-1417
11_20682	4109-90
11_10602	411-495
11_20686	4117-472
11_20687	4126-1180
11_20689	4133-601
11_20690	4136-869
11_20691	4137-798
11_10606	4139-888
11_10608	4146-1154
11_20694	4149-219
11_20695	4150-398
11_10610	4152-573
11_20697	4154-364
11_10611	4160-1365
11_20698	4163-1786
11_20699	4164-176
11_10614	41-695
11_20701	4170-1094
11_10617	4178-1592
11_20704	4184-393
11_20707	4191-268
11_20708	4199-1530
11_20709	4203-1210
11_20710	4204-176
11_10620	4213-2378
11_10621	421-528
11_20711	4218-1230
11_10622	4219-685
11_20712	4226-570
11_10624	4233-63
11_20713	4234-1944
11_20714	4235-1617
11_10625	4240-749
11_20715	4241-445
11_10627	424-423
11_20718	4250-402
11_10628	42-512
11_20719	4256-833
11_20720	4258-1498
11_20722	4275-1288
11_20723	4276-1082
11_20724	4277-1901
11_10632	4280-295
11_20725	428-1519
11_10635	4313-482
11_20728	4321-1740
11_10638	4331-1475
11_20729	4334-482
11_10639	4336-2579
11_20730	4338-133
11_10641	4342-528
11_20731	4346-840
11_20732	4361-1867
11_20734	4377-571
11_20736	4389-551
11_20737	4392-450
11_10644	4393-1078
11_10645	4396-567
11_10646	4403-885
11_20740	4407-1344
11_10648	4410-284
11_10651	4434-804
11_20742	4443-1835
11_20743	4445-1911
11_20744	4447-231
11_20745	44-481
11_10653	4453-422
11_20746	4454-1080
11_10654	4456-443
11_10656	4472-658
11_20749	4473-309
11_20750	4475-478
11_10658	447-88
11_10659	4488-514
11_20754	4499-1364
11_20755	4503-246
11_20757	4511-1878
11_10661	4517-217
11_20761	4532-675
11_20762	4535-1366
11_10667	454-1502
11_10668	4544-461
11_10669	4547-1677
11_20765	4564-604
11_10671	4565-1583
11_20766	4570-591
11_20769	4578-899
11_20771	4589-131
11_20772	4592-118
11_10672	4593-2007
11_10673	4594-971
11_10676	4611-178
11_20777	4616-503
11_20778	4618-1559
11_20780	4625-1413
11_20781	4629-162
11_10679	4630-1036
11_20782	4636-1380
11_20783	4641-266
11_20784	4642-1124
11_10681	4643-867
11_10682	4644-1363
11_10683	4647-248
11_20785	4656-255
11_20786	4658-1237
11_10685	4659-1261
11_10686	4665-882
11_10687	4671-856
11_20790	4679-1594
11_10688	4684-775
11_20791	4686-1281
11_20792	4691-721
11_20794	4701-2395
11_20795	4706-940
11_20796	4707-421
11_20797	4715-810
11_20798	4716-1205
11_10692	4717-386
11_20799	4721-1335
11_20801	4728-1735
11_10694	4737-368
11_10695	4753-1091
11_20805	4771-380
11_10697	4773-1009
11_10700	478-1291
11_10702	4787-1746
11_20807	4788-672
11_20808	4791-1541
11_20810	4793-777
11_10705	4795-782
11_20815	4807-1328
11_20817	4812-60
11_20820	482-1423
11_10707	4833-420
11_20824	4838-494
11_10710	4844-1737
11_20826	4845-123
11_20827	4849-1248
11_20828	4850-969
11_20829	485-1369
11_10712	4861-640
11_20833	4868-166
11_10714	4879-1560
11_20835	4895-145
11_20838	4919-1051
11_20840	4927-1340
11_20841	4930-1604
11_20844	4962-1295
11_10721	497-386
11_20845	4977-567
11_10722	4978-1030
11_10723	4986-1214
11_10724	4988-858
11_20847	4991-1028
11_20848	4993-1008
11_20850	5004-375
11_20851	5008-2402
11_20853	5013-1834
11_20854	5017-407
11_20855	5019-879
11_20856	5020-145
11_10726	5028-1261
11_20858	5029-1423
11_10728	5038-1035
11_20862	5046-619
11_20864	5050-1101
11_20866	5058-404
11_20868	5074-1135
11_20873	5086-1239
11_10731	5088-59
11_10733	5113-624
11_10734	5124-1707
11_20876	5126-1311
11_20877	5128-1831
11_20879	5138-265
11_20880	5141-240
11_10736	5145-1355
11_20881	5146-2119
11_20882	5148-1414
11_10738	5149-1645
11_20883	5154-117
11_20884	5156-737
11_20885	5-1593
11_20886	5159-579
11_20887	5160-268
11_10741	5163-896
11_20890	5183-924
11_20891	5184-1163
11_20892	5187-752
11_10744	5194-1118
11_20893	5202-1199
11_20894	5206-787
11_20895	5211-1755
11_20896	5212-1409
11_20897	5219-773
11_10747	5224-1560
11_10748	5225-703
11_10749	5232-2041
11_10750	5233-1070
11_10751	5245-304
11_20903	5250-214
11_20904	5251-184
11_10753	5253-1318
11_20905	5254-1845
11_10754	5260-462
11_20906	5273-894
11_20908	5283-1090
11_20909	5284-227
11_20911	5289-1341
11_20912	5297-796
11_10756	5298-828
11_20915	5316-739
11_10757	5318-436
11_20920	5334-1533
11_20921	5336-400
11_20922	5339-487
11_10760	5346-1587
11_20923	5347-585
11_20924	5354-1046
11_20929	5379-595
11_10764	5381-1950
11_20931	5385-722
11_10767	5399-139
11_10768	5402-929
11_10770	5419-760
11_20934	5428-146
11_10771	5440-455
11_20936	5448-298
11_10772	5467-1663
11_20939	5475-1355
11_20940	5477-757
11_10773	5480-826
11_20943	5483-787
11_20944	5488-1097
11_10775	5494-316
11_20946	5497-661
11_20947	5499-1430
11_20951	5514-472
11_20952	5520-925
11_10778	552-188
11_20953	5533-340
11_20955	5537-283
11_10780	5541-418
11_10781	5554-1971
11_10782	5555-438
11_20958	5565-1908
11_20959	557-1297
11_10783	5571-640
11_20960	5573-1170
11_20961	5591-403
11_20962	5595-297
11_10785	5611-811
11_10786	5644-206
11_20968	5646-568
11_10787	5652-419
11_20969	5656-1012
11_20970	5657-1187
11_20971	568-1651
11_20972	5684-601
11_10789	5690-1045
11_20974	5692-310
11_20975	5695-922
11_20976	5700-156
11_10791	570-1376
11_10793	5726-414
11_20980	5732-1104
11_20982	573-552
11_20987	5754-850
11_20988	5757-248
11_10796	5759-478
11_10797	5764-430
11_10798	5768-469
11_10799	5771-91
11_20990	5772-1176
11_20993	5777-354
11_20994	5784-213
11_20995	5785-748
11_20996	578-587
11_20997	5790-558
11_20998	5796-1189
11_20999	5797-777
11_21000	5798-867
11_21001	5799-578
11_21005	5823-1073
11_21007	5837-427
11_21008	5840-659
11_10805	5844-1011
11_21010	5848-1413
11_21011	5850-2347
11_21012	585-342
11_10807	587-1438
11_21014	5873-880
11_21015	5880-2547
11_21017	5887-615
11_21018	5893-1285
11_21024	5925-565
11_21025	5926-798
11_21027	5945-748
11_10813	5960-1302
11_10815	5965-1387
11_21030	5984-132
11_21032	5993-2383
11_10817	6018-235
11_21035	6019-296
11_10818	6023-567
11_21037	6024-1095
11_21038	6026-1949
11_21040	6035-654
11_21041	603-72
11_10819	6050-1625
11_10820	6054-1050
11_10821	6069-304
11_21048	6081-850
11_21050	6093-572
11_21052	6116-709
11_10823	6117-1507
11_21053	6118-595
11_21056	6133-774
11_21057	6142-1544
11_10825	6156-1399
11_10826	6157-1233
11_21061	6170-304
11_10828	617-167
11_21062	6171-956
11_10829	6172-773
11_21065	6184-200
11_21067	6195-2137
11_21068	6201-1190
11_21069	6205-683
11_21070	6208-987
11_21071	6215-539
11_21072	6238-243
11_21073	6249-572
11_10830	6250-1056
11_21077	6260-183
11_21078	6280-1098
11_21079	6290-574
11_21083	6302-250
11_10834	6315-914
11_21087	6326-1032
11_21088	6328-736
11_10837	6338-682
11_10838	6353-524
11_21093	6354-1193
11_21094	6355-222
11_10839	6364-645
11_10840	6367-453
11_21095	6382-396
11_21096	6384-866
11_10841	6394-944
11_10842	6402-691
11_21098	6412-466
11_21099	6419-1680
11_10843	6433-124
11_10845	6450-755
11_21101	6460-355
11_10846	6464-1115
11_21103	6468-770
11_21104	6470-1005
11_10848	6487-1315
11_21108	6489-465
11_21109	6491-295
11_21110	6510-1430
11_10851	6517-602
11_21111	6519-812
11_21112	6523-1691
11_10853	6541-1329
11_21116	654-469
11_10854	6547-1363
11_10855	6553-328
11_10856	6571-649
11_21120	6573-369
11_21121	65-778
11_21122	6589-1211
11_21124	6593-185
11_10861	6628-1302
11_10863	6634-263
11_21125	6652-209
11_21126	6655-978
11_21129	6681-314
11_21130	6689-135
11_21133	6714-579
11_10867	6716-823
11_10868	6719-1166
11_21134	6720-641
11_10869	6735-754
11_10870	6736-452
11_21136	6752-1013
11_21138	6761-490
11_21140	677-411
11_21141	6781-1073
11_21142	678-310
11_10873	6792-1945
11_21144	6804-1197
11_21145	6805-1110
11_21147	6818-411
11_10876	682-767
11_21150	6833-658
11_21151	6841-637
11_21153	6846-1161
11_21155	6851-867
11_21156	6852-506
11_21158	6854-309
11_21160	6868-595
11_21161	6871-945
11_21162	6873-531
11_21163	6883-203
11_21166	6911-866
11_21168	6913-1235
11_21173	6941-1330
11_21174	6949-895
11_21175	6951-875
11_10881	6954-861
11_10882	6964-414
11_21177	6970-462
11_21178	6975-1101
11_21181	6990-661
11_21184	6996-838
11_10885	7023-448
11_21187	7032-201
11_10886	7044-705
11_21189	7045-950
11_21190	7060-1237
11_21191	7069-1149
11_21193	7090-1260
11_21197	7125-585
11_10890	713-972
11_21200	7140-595
11_10891	7144-973
11_21201	7149-975
11_21202	7153-338
11_21203	7167-466
11_10893	7169-713
11_10894	7172-1536
11_10895	7174-365
11_10896	7180-778
11_21204	7185-370
11_21205	7187-382
11_21207	7207-696
11_21209	7216-297
11_21210	7221-766
11_10900	7236-1384
11_21212	7241-553
11_21213	7249-128
11_21215	7276-942
11_21216	7282-1386
11_21217	7284-710
11_21219	7299-183
11_21220	7302-240
11_21221	7310-996
11_10901	7337-388
11_10902	7342-535
11_21223	7356-1241
11_21224	7361-937
11_21225	7370-818
11_21226	7372-1253
11_10903	7381-1292
11_21228	7385-763
11_21229	7397-854
11_21238	7487-390
11_10909	7489-442
11_21239	7504-485
11_21241	7523-440
11_10911	7527-1618
11_21242	7549-782
11_21243	7550-562
11_10913	7559-350
11_10914	7560-538
11_21244	7568-443
11_10916	7576-818
11_10918	76-1059
11_21245	7612-375
11_10919	7623-818
11_21246	7624-359
11_21247	7639-122
11_21250	7655-579
11_21251	7660-476
11_21254	7691-679
11_21256	7706-924
11_10924	7712-674
11_10925	7716-721
11_10926	7728-341
11_21258	7729-565
11_21259	7738-324
11_21260	7741-527
11_21261	7747-1056
11_21265	7766-492
11_21267	7782-410
11_10933	7800-594
11_10935	7803-483
11_21270	7810-113
11_21271	78-1073
11_21272	7818-967
11_21273	7822-1474
11_21274	7826-869
11_21275	7839-633
11_10939	7848-441
11_21277	7867-585
11_21280	7886-894
11_10942	788-842
11_21281	7898-1497
11_10943	791-1113
11_21286	7932-687
11_10946	7942-948
11_10947	7959-829
11_10949	7970-387
11_21291	800-1091
11_21293	8005-914
11_21294	8020-87
11_21296	8034-315
11_21297	8037-282
11_21298	8048-952
11_21300	8059-344
11_10952	8065-1203
11_21302	8097-658
11_10954	810-818
11_10955	8118-1005
11_21303	8122-734
11_10956	8142-676
11_21304	816-265
11_10957	8166-525
11_21305	8180-450
11_21307	8200-978
11_21309	8215-496
11_21310	8220-1223
11_21312	8224-561
11_21314	8258-330
11_10962	828-545
11_21315	8293-202
11_21318	8320-955
11_10964	832-1040
11_21321	8344-444
11_10965	8365-454
11_21324	8377-1022
11_10966	8383-349
11_21325	8388-578
11_21326	8390-328
11_21330	8429-196
11_10971	8444-948
11_21332	8463-466
11_21333	8486-1964
11_21335	8491-1138
11_10977	8501-449
11_10978	8504-785
11_21338	8512-430
11_21339	851-804
11_21340	8523-316
11_21344	8561-968
11_10983	8582-772
11_21346	8586-1221
11_21348	861-268
11_10985	8613-278
11_21350	8631-469
11_21351	8632-1809
11_10987	864-594
11_21353	8653-475
11_10988	866-442
11_21354	8670-388
11_21355	8682-406
11_10989	868-675
11_10990	871-462
11_21357	8717-244
11_21358	8722-512
11_21359	8724-1282
11_21360	874-199
11_21361	8743-197
11_21362	8752-523
11_21363	8758-564
11_21365	8785-443
11_21366	8787-1459
11_21370	8817-798
11_10994	885-104
11_10995	8852-318
11_21373	8867-459
11_10996	887-736
11_10997	8889-842
11_21374	8901-1446
11_10999	8923-707
11_21377	8930-370
11_21381	8984-579
11_11002	9018-522
11_21384	9022-543
11_21385	9027-454
11_21388	9060-471
11_21389	9081-753
11_21390	9084-713
11_21391	9100-978
11_21392	9105-497
11_21395	9137-1106
11_11004	9149-1316
11_21397	917-522
11_21398	918-480
11_21399	9191-263
11_21400	9208-919
11_21401	9209-298
11_21402	921-414
11_21404	9251-852
11_21405	9282-205
11_21406	9291-1322
11_11012	93-413
11_21409	9347-437
11_21414	9426-490
11_11015	946-2500
11_11016	9481-859
11_21416	9490-843
11_21418	952-1301
11_11019	954-1377
11_21419	9561-168
11_21421	956-473
11_21422	9566-1214
11_21426	9608-371
11_21428	9618-372
11_11021	963-386
11_21431	9638-619
11_21435	9658-234
11_21436	9668-422
11_21437	9672-758
11_21438	9683-140
11_11023	968-979
11_21440	9701-925
11_11024	971-682
11_21443	9728-1098
11_21445	9745-628
11_21446	9757-582
11_21447	9766-787
11_21448	977-1377
11_11028	9820-455
11_11031	984-583
11_21452	9864-225
11_21453	9910-427
11_21455	9981-665
11_11038	ABC00875-1-3-436
11_11040	ABC01004-sfp18-05
11_11042	ABC01247-1-1-92
11_11043	ABC01334-1-1-55
11_11046	ABC01644-1-3-379
11_11048	ABC01741-1-4-299
11_11049	ABC01838-2-2-322
11_11054	ABC01899-1-1-301
11_11058	ABC02258-1-6-382
11_11059	ABC02329-1-20-250
11_11061	ABC02350-pHv759-04
11_11064	ABC02639-1-4-370
11_11067	ABC02895-1-4-231
11_11070	ABC03097-1-1-114
11_11071	ABC03113-1-1-251
11_11072	ABC03181-1-1-164
11_11073	ABC03253-1-2-279
11_21467	ABC03519-1-3-132
11_11080	ABC03900-1-2-406
11_21469	ABC03951-1-3-383
11_11086	ABC04214-1-2-360
11_11090	ABC04322-1-3-208
11_11092	ABC04352-pHv108-01
11_21472	ABC04375-1-1-173
11_21473	ABC04676-1-1-59
11_11097	ABC04725-1-1-254
11_11098	ABC04803-1-1-392
11_11099	ABC04826-1-1-174
11_11100	ABC04861-2-1-334
11_11101	ABC04893-1-1-248
11_11105	ABC05061-1-1-159
11_11111	ABC05241-1-5-271
11_11114	ABC05369-1-3-231
11_11118	ABC05640-1-1-248
11_11122	ABC05818-1-2-271
11_11124	ABC05852-1-2-658
11_11125	ABC05866-1-1-311
11_11127	ABC05919-1-2-157
11_11128	ABC05926-1-1-51
11_11133	ABC06091-1-1-187
11_21480	ABC06144-pHv86-01
11_11136	ABC06172-1-2-104
11_21481	ABC06247-1-1-122
11_11141	ABC06381-1-5-73
11_11145	ABC06618-1-2-314
11_11147	ABC06682-1-1-311
11_11153	ABC06878-1-1-332
11_11159	ABC07010-1-2-150
11_11162	ABC07133-1-1-56
11_11172	ABC07496-pHv1343-02
11_11178	ABC07566-2-1-82
11_11180	ABC07631-1-1-83
11_11185	ABC07987-1-6-270
11_11186	ABC08009-1-2-304
11_11187	ABC08038-1-3-160
11_11191	ABC08184-2-1-35
11_11196	ABC08260-1-1-108
11_11198	ABC08327-1-1-353
11_11199	ABC08396-1-4-120
11_11200	ABC08402-1-2-97
11_11205	ABC08769-1-1-205
11_11206	ABC08774-1-1-752
11_11207	ABC08788-1-1-329
11_11211	ABC09016-2-2-348
11_11213	ABC09154-1-1-250
11_11214	ABC09163-1-3-313
11_11219	ABC09320-1-1-112
11_11221	ABC09365-1-3-378
11_11222	ABC09375-pHv500-02
11_11224	ABC09432-1-1-160
11_11227	ABC09559-1-2-143
11_11236	ABC09941-1-1-100
